"Time (s)";"Recording (a.u.)"
1.270833333E-2;5.759362830E-5
1.272916667E-2;1.278225332E-3
1.275000000E-2;1.834873459E-3
1.277083333E-2;5.036043003E-4
1.279166667E-2;-3.561789345E-5
1.281250000E-2;1.911269792E-4
1.283333333E-2;2.485332079E-4
1.285416667E-2;4.812583793E-4
1.287500000E-2;8.382841479E-4
1.289583333E-2;1.083789160E-3
1.291666667E-2;1.179668820E-3
1.293750000E-2;1.123913564E-3
1.295833333E-2;9.504114860E-4
1.297916667E-2;9.553795680E-4
1.300000000E-2;8.082737913E-4
1.302083333E-2;5.514839431E-4
1.304166667E-2;5.718371831E-4
1.306250000E-2;3.456074628E-4
1.308333333E-2;8.316766471E-4
1.310416667E-2;2.145089908E-3
1.312500000E-2;1.559797209E-3
1.314583333E-2;-2.649878152E-4
1.316666667E-2;-1.514472970E-4
1.318750000E-2;6.772471825E-4
1.320833333E-2;5.372322048E-4
1.322916667E-2;9.437853587E-4
1.325000000E-2;1.144113368E-3
1.327083333E-2;-9.390274499E-5
1.329166667E-2;-3.647377889E-4
1.331250000E-2;7.918163319E-4
1.333333333E-2;4.820945323E-4
1.335416667E-2;-2.574704995E-4
1.337500000E-2;7.917707553E-4
1.339583333E-2;9.116890724E-4
1.341666667E-2;-2.854192571E-4
1.343750000E-2;1.643250143E-4
1.345833333E-2;1.061072107E-3
1.347916667E-2;2.767277474E-4
1.350000000E-2;-9.158074681E-5
1.352083333E-2;7.234603399E-4
1.354166667E-2;4.782696778E-4
1.356250000E-2;6.848541670E-4
1.358333333E-2;2.058385173E-3
1.360416667E-2;1.759511419E-3
1.362500000E-2;5.132395891E-4
1.364583333E-2;5.779092899E-4
1.366666667E-2;1.136081177E-3
1.368750000E-2;3.190920688E-4
1.370833333E-2;-7.738521090E-4
1.372916667E-2;-1.780172752E-4
1.375000000E-2;7.998074288E-4
1.377083333E-2;3.198962659E-4
1.379166667E-2;-3.037388669E-4
1.381250000E-2;9.098968585E-4
1.383333333E-2;2.287742449E-3
1.385416667E-2;1.755192759E-3
1.387500000E-2;5.720993504E-4
1.389583333E-2;6.835450768E-4
1.391666667E-2;1.197580714E-3
1.393750000E-2;4.103532410E-4
1.395833333E-2;-6.869898061E-4
1.397916667E-2;-1.206024899E-3
1.400000000E-2;-1.077223103E-3
1.402083333E-2;-1.946212287E-4
1.404166667E-2;5.159747670E-4
1.406250000E-2;2.943985746E-4
1.408333333E-2;3.626811667E-5
1.410416667E-2;8.994981181E-4
1.412500000E-2;1.549263252E-3
1.414583333E-2;4.701882717E-4
1.416666667E-2;-6.614885060E-4
1.418750000E-2;1.252902002E-4
1.420833333E-2;8.850641898E-4
1.422916667E-2;9.292957839E-5
1.425000000E-2;-1.603646378E-4
1.427083333E-2;2.808553400E-4
1.429166667E-2;2.059393300E-4
1.431250000E-2;1.692052610E-4
1.433333333E-2;3.574141010E-4
1.435416667E-2;2.348496200E-4
1.437500000E-2;8.428997826E-4
1.439583333E-2;2.231350634E-3
1.441666667E-2;1.578090829E-3
1.443750000E-2;-5.554821837E-5
1.445833333E-2;5.143726012E-4
1.447916667E-2;1.469248324E-3
1.450000000E-2;8.229712257E-4
1.452083333E-2;1.906333637E-4
1.454166667E-2;3.842638398E-4
1.456250000E-2;6.825817400E-4
1.458333333E-2;1.393790590E-3
1.460416667E-2;1.331452280E-3
1.462500000E-2;-2.357734775E-4
1.464583333E-2;5.741691348E-5
1.466666667E-2;1.843812875E-3
1.468750000E-2;8.809189312E-4
1.470833333E-2;-6.479776348E-4
1.472916667E-2;1.501110266E-3
1.475000000E-2;3.542002989E-3
1.477083333E-2;1.344907098E-3
1.479166667E-2;-1.001566299E-3
1.481250000E-2;-2.437311196E-5
1.483333333E-2;1.131568686E-3
1.485416667E-2;2.423780097E-4
1.487500000E-2;-2.991317597E-4
1.489583333E-2;5.967384204E-4
1.491666667E-2;1.715233899E-3
1.493750000E-2;2.395989606E-3
1.495833333E-2;2.003063913E-3
1.497916667E-2;1.314821071E-3
1.500000000E-2;1.706853858E-3
1.502083333E-2;2.279891632E-3
1.504166667E-2;1.935653272E-3
1.506250000E-2;9.030024521E-4
